ticker,quantity,sector,purchase_date,purchase_price,weight
AAPL,1,IT,2024-04-11,168.160003662109,3.461289749
ADAP,1,Pharmaceuticals,2023-09-26,0.717999994754791,0.00461463
AGCO,1,Agriculture,2022-07-18,91.6500015258789,1.476205814
BA,2,Military Engineering,2020-11-19,199.899993896484,2.82443904
BG,4,Agriculture,2024-10-01,95.5999984741211,1.161586427
CALM,5,Agriculture,2021-04-06,38.3199996948242,1.414518851
CAT,1,Engineering,2025-03-18,233.52000427246,5.324743882
CSCO,5,IT,2022-10-11,39.2700004577636,0.956227446
CVX,2,Natural Resources,2020-08-14,88.8499984741211,2.612578346
DDOG,5,IT,2021-09-22,145.460006713867,1.665548413
DE,4,Agriculture,2021-12-02,343.459991455078,7.491716964
GRWG,2,Agriculture,2023-01-25,4.23000001907348,0.020139451
HUM,1,Healthcare,2022-02-08,427.910003662109,4.220880197
IBKR,1,Finance,2022-12-06,77.2900009155273,2.749114323
IEX,5,Engineering,2021-01-12,207.149993896484,2.884698861
JPM,5,Finance,2023-11-06,142.789993286132,3.831728794
KO,5,Food & Beverages,2022-05-17,65.0100021362304,1.08895751
LMT,5,Military Engineering,2024-12-09,508.549987792968,6.97269032
MS,1,Finance,2023-06-05,83.2200012207031,1.905160303
MSCI,1,Finance,2020-01-07,260.739990234375,8.920983729
MSFT,3,IT,2020-03-11,151.149993896484,6.204536752
NFLX,1,Entertainment,2024-02-20,569.659973144531,15.2281202
OSK,3,Engineering,2023-03-16,80.6299972534179,1.518863438
PFE,2,Pharmaceuticals,2020-06-09,34.3168869018554,0.416743924
PG,2,Consumer Goods,2024-07-15,164.460006713867,2.643342578
SPY,3,Finance,2024-01-16,473.059997558593,8.943501569
TMUS,5,Telecommunications,2021-05-20,134.300003051757,4.05706849
